articles,bhd,million,share,year,price,said,ha,wa,market,bank,stock,thi,billion,group,compani,maybank,research,malaysia,profit,also,expect,hold,earn,us,sen,invest,trade,net,time,say,index,per,buy,high,s,financi,last,growth,may,point,analyst,higher,valu,target,new,klci,would,low,end,quarter,report,revenu,lower,investor,rate,valuat,due,first,level,close,oper,today,manag,2014,base,note,gain,oil,edg,includ,month,rose,current,fbm,2015,fund,cimb,posit,sell,remain,sinc,kuala,like,product,industri,daili,could,fundament,asset,lumpur,call,develop,increas,strong,recent,one,busi,move,top,capit
462,0,0,2,0,1,2,1,1,1,1,1,0,0,1,0,1,2,0,0,0,1,0,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
463,4,0,0,2,3,0,1,1,0,0,1,2,1,1,1,1,1,1,0,3,0,2,1,0,0,0,0,0,1,0,0,0,0,3,0,2,1,2,3,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,1,0,3,1,0,3,0,0,3,3,0,0,0,1,1,1,0,0,0,1,0,0,3,2,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0,1
464,1,4,12,0,7,4,2,2,4,1,9,3,0,1,4,3,4,0,1,1,1,0,3,0,1,0,2,0,3,0,0,6,5,0,2,1,1,0,0,0,3,0,1,1,4,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,1,0,0,0,0,1,1,0,1,3,0,1,0,1,0,0,1,0,1
465,1,4,12,0,7,4,2,2,4,1,9,3,0,1,4,3,4,0,1,1,1,0,3,0,1,0,2,0,3,0,0,6,5,0,2,1,1,0,0,0,3,0,1,1,4,0,0,2,0,0,0,0,0,2,1,0,1,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,1,0,0,2,0,1,1,1,0,1,0,0,0,0,1,1,0,1,3,0,1,0,1,0,0,1,0,1
466,0,3,5,0,0,3,0,3,1,0,2,1,0,0,0,1,1,1,0,1,1,0,0,0,2,0,3,0,0,0,2,0,2,1,2,0,1,0,0,4,0,3,1,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,3,1,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1
467,0,3,5,0,0,3,0,3,1,0,2,1,0,0,0,1,1,1,0,1,1,0,0,0,2,0,3,0,0,0,2,0,2,1,2,0,1,0,0,4,0,3,1,0,0,4,0,0,1,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,0,1,0,0,3,1,1,0,4,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,2,1,1
468,1,1,0,0,3,3,1,0,0,0,1,0,0,0,1,1,3,0,1,0,1,0,3,0,0,0,0,1,0,0,0,0,2,0,1,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
469,5,0,1,0,0,2,0,4,8,4,4,0,2,1,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,1,1,0,1,0,0,2,0,4,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
470,5,0,1,0,0,2,0,4,8,4,4,0,2,1,0,0,0,1,0,0,0,2,0,1,0,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,3,1,0,0,0,1,0,0,1,1,0,1,0,0,2,0,4,1,0,0,0,1,0,0,0,0,1,0,1,0,2,1,2,0,1,0,1,1,0,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0
471,1,0,0,2,3,0,1,2,0,0,1,1,1,1,0,1,1,1,0,2,3,1,1,0,0,0,0,0,1,0,0,0,0,1,0,2,0,4,0,0,1,2,0,3,0,0,0,0,1,3,0,0,0,0,1,0,2,2,0,0,1,0,0,3,2,0,0,0,1,0,0,0,1,0,1,0,0,0,2,1,0,0,1,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0
472,1,6,6,5,1,2,4,5,3,4,6,4,3,5,11,0,0,1,0,4,0,1,0,0,0,0,2,0,0,6,0,0,1,0,0,1,8,0,1,0,0,0,2,0,4,0,2,1,1,0,1,0,1,0,0,0,0,1,0,3,2,0,2,1,0,0,0,0,3,3,2,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,3,3,0,0,2
473,1,6,6,5,1,2,4,5,3,4,6,4,3,5,11,0,0,1,0,4,0,1,0,0,0,0,2,0,0,6,0,0,1,0,0,1,8,0,1,0,0,0,2,0,4,0,2,1,1,0,1,0,1,0,0,0,0,1,0,3,2,0,2,1,0,0,0,0,3,3,2,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,0,1,0,1,1,0,1,3,3,0,0,2
474,7,6,3,1,2,0,2,0,2,2,5,4,2,3,0,1,1,0,4,1,2,1,0,1,0,3,4,0,3,0,7,0,4,8,0,2,0,1,3,5,0,2,1,1,0,3,0,9,2,3,2,1,0,1,0,0,2,3,5,2,0,0,1,4,0,0,1,1,1,0,1,2,1,1,0,0,1,1,1,1,2,0,2,2,1,7,0,0,1,0,1,0,1,3,3,0,0,4,1,0
475,1,3,1,0,1,5,1,0,0,1,2,0,0,0,0,3,3,0,0,0,1,1,1,1,2,2,0,1,5,0,0,0,1,0,0,0,0,0,0,0,2,1,0,1,1,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,1,1,1,0,0,2,0,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,2,0,0,0,0,0,1,0,0,2,0,1,0,0,0,1,1
476,6,1,2,0,0,1,0,2,2,3,3,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,3,0,2,1,0,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
477,6,1,2,0,0,1,0,2,2,3,3,0,1,0,0,0,0,1,0,1,0,1,0,2,0,0,0,0,1,0,0,0,0,0,6,0,0,3,0,2,1,0,0,0,0,3,0,0,0,1,2,0,0,1,0,0,0,1,0,0,0,1,0,0,0,1,2,1,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
478,2,1,7,1,6,3,1,3,1,1,2,0,2,0,0,3,1,0,1,0,0,1,0,0,4,2,5,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
479,2,1,7,1,6,3,1,3,1,1,2,0,2,0,0,3,1,0,1,0,0,1,0,0,4,2,5,0,2,0,0,0,0,0,0,0,0,0,2,0,1,0,3,1,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,2,0,0,0
480,0,6,10,7,20,1,8,3,2,3,1,6,10,0,1,2,4,1,6,4,7,2,11,3,0,2,4,8,12,1,0,11,12,1,0,1,0,2,0,1,0,9,2,9,7,0,1,1,2,1,0,13,3,1,4,4,1,2,0,0,1,0,3,2,2,2,0,1,1,1,0,0,4,0,1,1,1,0,2,0,1,0,4,1,2,0,2,1,0,0,1,0,5,2,2,2,1,1,0,4
481,5,6,13,1,1,4,5,2,2,1,2,0,1,1,3,2,0,1,0,3,2,1,0,1,3,1,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2,2,0,0,2,0,1,0
482,5,6,13,1,1,4,5,2,2,1,2,0,1,1,3,2,0,1,0,3,2,1,0,1,3,1,3,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,4,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,3,0,0,1,1,0,0,0,0,0,0,0,1,1,1,2,2,0,0,2,0,1,0
483,6,16,11,5,25,0,10,7,2,1,5,11,3,6,1,1,9,9,1,4,15,4,15,3,4,3,3,4,8,0,0,11,11,0,0,0,1,7,3,0,0,4,9,11,10,0,2,1,2,2,2,7,5,1,3,1,3,4,0,0,3,1,2,4,5,0,1,1,1,3,0,0,4,0,3,0,1,1,0,4,0,0,4,2,2,1,3,0,1,0,1,12,2,7,3,1,4,3,0,1
484,7,4,4,5,1,2,4,5,1,0,4,9,5,2,2,0,0,4,0,1,1,1,2,1,1,2,0,0,5,12,0,3,2,2,0,0,2,0,1,2,6,2,1,2,0,0,9,0,1,0,0,2,2,1,3,0,0,1,1,2,7,2,0,2,2,1,0,0,3,0,1,0,1,0,0,2,0,3,4,2,0,0,7,0,1,0,2,0,1,0,1,0,0,2,0,2,2,4,3,2
485,7,4,4,5,1,2,4,5,1,0,4,9,5,2,2,0,0,4,0,1,1,1,2,1,1,2,0,0,5,12,0,3,2,2,0,0,2,0,1,2,6,2,1,2,0,0,9,0,1,0,0,2,2,1,3,0,0,1,1,2,7,2,0,2,2,1,0,0,3,0,1,0,1,0,0,2,0,3,4,2,0,0,7,0,1,0,2,0,1,0,1,0,0,2,0,2,2,4,3,2
486,6,4,2,1,2,1,3,2,2,0,3,3,4,4,2,2,1,1,2,0,1,1,0,3,0,2,5,0,3,0,7,0,5,8,0,3,1,0,4,4,0,3,2,2,0,4,0,9,2,0,1,1,1,1,1,0,3,1,8,3,0,0,0,1,0,0,2,0,1,0,2,1,1,2,0,0,0,1,2,1,2,1,1,0,1,6,1,0,0,1,1,0,1,4,1,0,0,3,0,0
487,0,3,5,0,0,3,0,2,1,1,3,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2
488,0,3,5,0,0,3,0,2,1,1,3,0,0,0,0,1,1,0,0,0,1,0,0,1,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,3,0,2,0,3,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,2
489,3,18,8,6,25,0,16,5,0,2,2,8,3,7,3,1,9,2,3,4,9,5,12,3,1,5,5,4,9,1,0,12,12,2,0,0,1,9,2,1,0,6,9,6,11,0,1,0,0,0,2,4,8,4,3,5,0,2,0,0,3,0,6,4,1,1,0,6,1,3,2,0,2,0,0,2,0,5,5,1,0,0,1,6,1,0,2,0,3,0,1,9,4,5,3,2,5,0,1,0
490,1,0,1,0,0,4,2,1,0,5,1,0,0,1,0,4,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0
491,3,1,6,0,4,2,3,1,1,7,6,2,0,0,0,1,0,1,1,0,0,1,0,0,4,1,2,0,0,0,0,0,0,0,3,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,3,0,0,0,2,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0
492,6,2,2,1,2,0,2,2,3,1,3,2,2,0,0,1,1,2,3,0,2,1,0,1,2,3,2,0,3,0,8,1,5,9,0,2,0,1,3,5,0,4,1,2,1,3,0,9,2,0,2,3,1,1,0,0,3,1,6,3,0,0,1,2,0,0,1,0,1,1,2,1,1,1,0,0,0,2,1,3,2,0,2,0,1,6,1,0,0,0,1,0,0,2,3,0,0,4,0,0
493,0,1,3,0,0,3,0,2,2,1,1,0,2,0,0,1,1,0,0,1,1,0,0,1,2,0,3,0,0,0,1,0,2,2,1,0,2,0,0,4,0,2,1,0,1,4,0,1,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,1,1,0,1,4,0,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1
494,3,0,3,1,2,2,2,2,0,0,6,0,0,0,1,3,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,2,0,0,4,0,1,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
495,3,0,3,1,2,2,2,2,0,0,6,0,0,0,1,3,3,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1,2,1,0,0,0,2,0,0,4,0,1,1,0,0,0,0,0,0,2,0,0,1,2,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
496,5,7,2,7,1,7,4,1,12,5,2,11,11,3,6,1,1,10,0,0,0,1,1,2,0,3,0,1,1,0,3,0,1,1,0,0,3,0,1,9,1,0,0,1,0,0,1,1,1,0,1,1,0,2,5,0,0,3,1,0,0,0,5,6,0,3,1,2,0,0,3,2,2,0,0,2,3,0,1,0,2,4,0,1,1,0,2,0,4,2,0,2,3,0,1,1,0,0,1,2
497,4,0,5,1,2,2,4,1,0,0,3,0,0,0,1,3,4,0,0,0,0,1,0,0,2,0,2,0,0,0,0,3,1,1,0,0,0,2,0,0,3,0,1,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,1,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
498,12,0,3,1,1,8,2,3,4,3,1,2,0,1,5,6,5,2,0,1,1,5,2,0,0,4,1,0,0,0,0,0,2,1,0,2,0,4,1,0,4,0,0,1,2,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
499,12,0,3,1,1,8,2,3,4,3,1,2,0,1,5,6,5,2,0,1,1,5,2,0,0,4,1,0,0,0,0,0,2,1,0,2,0,4,1,0,4,0,0,1,2,0,0,0,0,1,0,0,0,0,3,1,1,0,0,0,1,1,0,2,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,0
500,2,1,5,0,3,2,1,0,1,0,5,2,1,0,0,2,6,0,1,0,0,0,3,0,1,1,3,0,0,0,0,1,2,1,0,0,0,1,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,2,0,0,2,0,0
501,2,1,5,0,3,2,1,0,1,0,5,2,1,0,0,2,6,0,1,0,0,0,3,0,1,1,3,0,0,0,0,1,2,1,0,0,0,1,0,0,3,0,0,3,0,0,4,0,0,0,0,0,0,0,1,0,1,0,1,0,0,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,2,2,0,0,2,0,0
502,0,1,3,1,3,2,5,2,0,11,1,0,5,3,0,1,0,0,0,2,2,2,2,0,0,1,2,0,3,0,0,0,4,0,11,0,1,0,0,0,1,0,1,0,0,0,4,0,0,0,0,1,2,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,2,1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,0
503,0,0,5,0,2,1,0,1,3,6,3,0,0,1,0,1,0,2,0,0,3,0,0,0,0,0,6,0,0,0,6,0,2,0,5,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,1,0,0,2,1,0,0,0,0,3,0,0,2,1,0,0,1,1,1,0,0,1,0,0,0,0,0,0,0,1,1,0
504,7,5,10,3,0,3,2,4,0,5,4,0,7,2,2,1,0,6,2,0,1,3,1,2,8,0,4,3,0,0,0,0,1,0,2,3,1,0,2,0,0,1,2,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,1,4,2,0,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
505,7,5,10,3,0,3,2,4,0,5,4,0,7,2,2,1,0,6,2,0,1,3,1,2,8,0,4,3,0,0,0,0,1,0,2,3,1,0,2,0,0,1,2,0,0,0,0,0,3,2,0,2,0,0,0,0,0,0,0,1,4,2,0,2,2,0,0,1,0,2,0,1,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0
506,0,3,3,0,0,3,0,2,0,0,2,0,0,0,0,1,1,1,2,0,0,1,0,0,1,0,2,0,0,0,1,0,3,1,1,0,2,0,1,2,0,0,1,0,1,2,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1
507,2,1,5,5,7,0,4,0,0,0,2,1,1,1,3,2,5,0,0,1,5,0,1,0,0,1,2,0,0,4,0,0,1,0,0,0,1,0,1,0,0,1,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,2,6,0,0,1,3,2,1,2,1,0,0,1,0,0,0,0,0,2,0,0,0,0,3,0,0,0,1,0,0,0,0,2,0,0,0,2,0,0,0,0
508,0,1,1,3,0,7,3,3,5,9,2,2,2,1,1,1,0,4,0,1,0,1,0,1,0,1,0,0,0,0,1,0,0,0,2,1,2,1,0,0,0,0,0,0,1,0,1,0,0,0,4,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,2,0,0,2,0,0,0,1,2,0,1,0,0,1,3,1,0,0,1
509,0,3,0,1,2,2,2,1,0,0,2,0,0,1,2,2,3,0,0,0,2,0,2,0,0,0,1,0,0,0,0,0,2,0,2,0,1,2,0,0,1,2,1,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,1,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,1,0,2,1,1,0,0,0,0,0,0,0,1,0,5,0,1,0,0,0,0,0,0
510,0,0,0,0,0,4,1,1,1,0,1,0,0,0,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,1,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
511,4,1,0,0,0,2,1,1,1,1,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,1,1,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0
512,2,8,6,4,1,0,4,5,7,1,2,5,4,0,0,2,3,1,1,2,5,0,0,0,1,1,2,2,0,7,0,0,0,2,0,3,2,1,4,0,2,0,0,1,0,0,1,0,2,0,2,2,3,2,0,0,1,1,0,0,3,0,2,1,0,2,0,0,1,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0
513,2,8,6,4,1,0,4,5,7,1,2,5,4,0,0,2,3,1,1,2,5,0,0,0,1,1,2,2,0,7,0,0,0,2,0,3,2,1,4,0,2,0,0,1,0,0,1,0,2,0,2,2,3,2,0,0,1,1,0,0,3,0,2,1,0,2,0,0,1,3,0,0,3,0,0,0,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,0,0,0,2,0,0,1,0
514,5,6,4,3,3,3,3,3,0,0,4,2,0,0,0,2,2,0,3,4,1,2,1,0,4,0,2,2,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,2,0,0,1,0,2,2,1,2,2,1,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0
515,5,6,4,3,3,3,3,3,0,0,4,2,0,0,0,2,2,0,3,4,1,2,1,0,4,0,2,2,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,2,0,0,1,0,2,2,1,2,2,1,1,0,1,0,0,0,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,1,0,0,2,0,0,0,0,1,1,0,0,0,0,0,0,0,13,0
516,2,1,0,0,0,3,0,0,0,1,1,0,0,0,0,5,0,0,3,0,2,0,1,0,0,1,0,3,0,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
517,3,5,0,2,3,0,2,2,0,0,1,2,0,0,2,1,1,0,1,2,2,1,6,0,0,2,0,1,1,0,0,1,1,0,0,2,0,0,0,0,0,0,0,3,5,0,0,1,1,1,0,0,0,0,0,1,0,2,0,0,1,0,2,3,0,0,0,0,1,1,0,0,2,0,3,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,4,1,0,1,1,1,0,0,0
518,6,2,2,1,4,0,5,1,3,0,6,5,3,2,2,1,0,0,3,0,2,2,1,2,0,2,2,0,2,0,9,0,1,9,0,2,0,1,4,5,1,0,1,2,0,5,2,7,2,1,1,0,5,2,2,0,5,1,7,2,2,0,0,2,0,0,0,0,1,0,1,1,1,1,0,0,0,0,6,2,4,0,3,2,0,7,2,0,0,0,2,0,0,0,5,2,0,4,0,1
519,0,3,2,0,0,3,0,2,2,1,2,0,0,0,0,1,1,1,1,1,1,1,0,2,2,0,2,0,0,0,2,0,0,1,2,0,0,0,0,4,0,1,1,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,4,0,2,0,3,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
520,0,3,2,0,0,3,0,2,2,1,2,0,0,0,0,1,1,1,1,1,1,1,0,2,2,0,2,0,0,0,2,0,0,1,2,0,0,0,0,4,0,1,1,0,0,3,0,0,0,0,1,0,0,1,0,0,1,0,0,2,0,0,0,0,0,1,1,0,0,4,0,2,0,3,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,1
521,6,0,2,1,2,0,4,1,3,0,5,4,2,2,1,1,1,0,1,0,1,1,0,1,6,2,2,0,2,0,8,0,2,10,0,2,0,0,6,5,0,2,1,2,1,3,1,8,2,2,2,0,0,3,0,0,3,1,7,2,0,1,0,4,0,0,1,0,1,0,1,3,1,1,0,0,0,2,0,2,3,1,2,1,0,6,0,0,0,1,0,0,0,3,3,0,0,4,0,0
522,8,25,1,10,20,0,13,4,3,0,3,10,10,8,1,1,8,5,11,3,16,1,9,3,3,5,1,10,6,0,0,5,6,3,0,0,0,7,2,1,0,6,8,5,13,0,1,2,1,1,1,7,2,1,3,1,7,2,1,1,3,0,3,4,2,1,4,3,1,1,1,0,5,0,3,0,1,5,1,7,1,0,1,3,2,0,4,1,6,0,0,6,10,2,2,3,3,2,2,0
523,2,10,4,2,2,0,5,2,1,1,4,2,3,8,3,1,1,2,4,3,9,4,2,0,7,1,0,5,1,4,0,4,2,0,0,0,1,1,1,0,0,1,0,2,4,0,0,1,4,1,0,3,0,1,1,0,2,2,0,0,2,0,1,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,4,3,1,3,0,0,0,0
524,2,10,4,2,2,0,5,2,1,1,4,2,3,8,3,1,1,2,4,3,9,4,2,0,7,1,0,5,1,4,0,4,2,0,0,0,1,1,1,0,0,1,0,2,4,0,0,1,4,1,0,3,0,1,1,0,2,2,0,0,2,0,1,1,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,1,0,0,1,2,0,0,0,0,0,0,3,0,4,3,1,3,0,0,0,0
525,0,2,3,0,0,3,1,2,2,1,1,2,1,0,0,1,1,1,0,1,2,0,0,2,2,0,2,0,0,1,3,0,1,0,0,0,0,0,0,4,0,1,1,0,1,6,0,0,0,0,0,0,0,1,0,0,1,0,2,2,0,0,0,0,0,1,2,0,1,3,0,0,0,5,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0,0,1,1,2
526,7,27,16,10,19,0,14,2,2,3,2,11,10,2,5,2,12,1,8,3,6,8,8,3,1,2,6,5,12,0,0,10,13,0,0,0,2,2,2,0,0,4,16,2,1,0,6,0,0,0,0,0,1,2,5,3,5,3,0,0,7,0,1,4,9,0,2,1,1,1,3,0,2,0,1,0,2,7,1,7,1,0,2,1,1,1,5,3,2,0,3,6,6,4,2,1,1,4,1,4
527,7,34,5,30,0,9,0,15,0,2,1,2,46,7,3,4,0,3,26,5,1,1,0,0,7,1,0,19,0,1,0,4,0,0,1,11,1,3,0,0,0,4,0,0,0,0,0,0,9,27,3,19,9,0,0,0,3,2,0,0,0,1,0,1,1,1,2,0,0,1,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,4,2,0,0,0,0,0,0
528,7,34,5,30,0,9,0,15,0,2,1,2,46,7,3,4,0,3,26,5,1,1,0,0,7,1,0,19,0,1,0,4,0,0,1,11,1,3,0,0,0,4,0,0,0,0,0,0,9,27,3,19,9,0,0,0,3,2,0,0,0,1,0,1,1,1,2,0,0,1,0,5,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,1,0,0,4,2,0,0,0,0,0,0
