articles,bhd,million,share,year,price,said,ha,wa,market,bank,stock,thi,billion,group,compani,maybank,research,malaysia,profit,also,expect,hold,earn,us,sen,invest,trade,net,time,say,index,per,buy,high,s,financi,last,growth,may,point,analyst,higher,valu,target,new,klci,would,low,end,quarter,report,revenu,lower,investor,rate,valuat,due,first,level,close,oper,today,manag,2014,base,note,gain,oil,edg,includ,month,rose,current,fbm,2015,fund,cimb,posit,sell,remain,sinc,kuala,like,product,industri,daili,could,fundament,asset,lumpur,call,develop,increas,strong,recent,one,busi,move,top,capit
382,20,1,2,0,1,4,1,3,4,2,4,0,0,2,0,0,2,1,0,0,0,3,0,3,2,0,2,0,0,0,2,2,0,1,0,1,0,0,0,2,0,0,0,0,0,3,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,1,0,0,0,0,1,2,0,3,1,3,1,3,0,0,0,2,0,1,1,2,0,0,2,1,0,0,0,2,0,0,1,1,1,2,0,0,1,1
383,3,4,4,0,4,5,3,2,2,2,5,1,3,1,1,2,0,14,1,1,0,0,1,5,2,2,2,1,0,0,0,0,1,0,0,1,0,0,0,1,1,1,1,2,5,1,0,2,1,0,1,0,3,0,2,3,0,1,0,1,0,0,0,2,2,1,0,0,1,1,0,1,0,1,0,0,3,0,0,3,0,1,0,0,0,1,0,1,1,1,1,3,0,1,0,3,0,0,1,0
384,3,0,9,2,6,2,6,5,3,0,1,3,4,1,11,1,2,0,0,1,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,3,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,1,1,1,3,0,0,1,1,0,0,2,2,1,2,0,5,0,1,1,0,0,1,0,1,1,2,1,1,2,1,0,1,1,0,0,0,0,1,1,1,0,0,0
385,2,5,3,0,2,3,0,1,0,2,3,0,2,2,0,3,0,10,0,0,0,0,1,0,2,2,2,1,0,0,0,0,1,0,3,0,0,0,0,1,1,0,1,2,4,1,0,0,0,0,1,1,2,0,1,1,0,0,0,0,0,1,0,0,1,1,0,0,0,1,0,1,0,1,0,0,4,0,0,3,0,1,0,0,0,0,0,0,1,1,1,3,0,0,0,2,0,0,0,0
386,5,7,2,4,5,2,6,1,1,0,2,3,2,6,1,1,3,2,0,3,2,2,3,4,0,1,0,1,2,5,0,3,1,0,0,0,2,0,1,0,1,0,1,2,0,0,0,1,1,0,3,0,0,0,1,0,0,3,0,1,2,0,0,2,0,0,0,10,3,0,0,0,2,0,2,0,0,0,0,0,3,0,0,7,0,0,1,0,17,0,1,0,2,2,0,1,0,0,0,1
387,23,2,3,0,3,6,0,3,2,0,1,0,3,2,0,1,1,3,0,1,1,2,0,1,2,0,3,0,0,0,3,0,1,1,0,2,0,0,1,4,1,0,2,0,0,6,1,2,1,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,1,1,1,0,3,0,0,0,5,0,0,0,0,2,2,1,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0
388,3,1,2,1,2,6,0,4,0,1,1,1,3,0,0,3,1,1,0,1,0,0,2,0,2,1,1,2,2,0,0,0,2,1,2,0,0,0,0,0,0,1,1,3,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,2,1,0,0,0,0,1,1,0,0,0,0,3,0,0,0,2,0,0,0,0,0,0,1,1,1,4,1,0,0,0,0,1,1,0
389,9,0,0,0,0,2,0,0,1,1,1,0,0,0,0,0,1,1,0,0,1,3,3,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1
390,26,1,3,0,1,5,0,2,2,1,3,0,2,1,0,1,1,1,1,2,1,1,0,1,2,0,2,0,0,0,2,0,2,0,0,0,0,1,0,4,0,1,1,0,0,4,1,2,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,3,1,3,0,1,0,3,0,0,0,1,1,2,0,1,0,0,3,0,0,0,0,1,0,0,0,1,0,0,0,1,1,0
391,7,0,2,1,6,0,3,4,3,0,4,4,2,1,1,1,1,0,0,1,2,2,0,2,0,2,2,1,2,0,10,0,2,11,0,2,0,1,2,5,2,0,2,2,0,3,2,13,1,1,1,0,3,0,1,0,2,1,5,3,0,0,0,3,0,0,0,0,1,0,1,1,1,1,0,0,1,0,7,0,3,1,2,0,1,5,0,1,0,1,4,0,0,0,4,0,0,2,0,1
392,5,4,4,2,3,8,0,5,0,2,3,2,0,2,0,4,2,0,2,1,0,0,2,0,1,2,0,2,0,0,1,0,0,0,3,0,0,0,0,1,3,0,0,1,0,1,0,0,1,3,0,0,4,0,0,1,2,2,1,0,1,3,0,2,0,3,0,0,0,1,0,1,1,1,0,1,1,0,0,2,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,1,0,0,0,0
393,1,1,0,1,2,0,1,4,0,0,1,2,0,0,0,1,2,0,1,0,2,1,3,0,0,0,1,1,1,0,1,0,0,0,0,2,0,1,0,0,0,4,1,1,0,0,0,0,0,1,0,2,1,0,0,1,5,2,0,0,0,0,0,3,0,0,0,0,1,0,2,1,0,0,2,0,0,1,0,1,0,0,0,1,0,1,2,0,0,0,1,0,1,0,0,0,0,1,0,0
394,0,0,6,1,1,1,0,0,3,1,2,0,0,2,1,1,0,1,1,0,0,0,0,0,0,0,0,1,1,0,5,0,0,2,4,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,1,1,0,0,0,2,0,0,0,0,1,1,0,3,2,0,0,0,0,0,0,0,2,0,0,0,1,0,0,0,2,2,0
