articles,bhd,million,share,said,year,price,thi,cimb,market,wa,bank,stock,group,ha,research,billion,malaysia,compani,hold,profit,also,sen,expect,net,invest,s,earn,trade,last,us,target,financi,growth,time,per,say,higher,note,manag,valu,valuat,would,analyst,may,today,first,investor,base,point,end,revenu,lower,edg,new,quarter,rate,fund,oil,close,index,due,kuala,increas,lumpur,report,rose,oper,fundament,asset,product,2014,cost,could,remain,week,strong,howev,month,continu,high,one,busi,2015,klci,posit,two,industri,sale,buy,project,current,declin,gain,like,maintain,call,sector,30,develop,capit
195,0,7,11,0,13,3,8,1,2,4,0,5,6,7,2,0,3,9,2,0,4,0,8,0,0,0,6,0,2,4,0,1,4,1,0,5,6,1,1,0,1,0,1,0,0,1,1,0,2,3,3,0,1,6,1,2,0,3,5,2,0,0,6,0,2,3,1,0,0,5,0,3,2,0,6,2,1,3,2,6,2,0,0,0,4,1,0,3,0,1,0,2,6,1,1,0,0,2,1,3
196,0,0,4,2,1,1,1,1,5,2,1,4,2,1,1,0,0,0,1,0,1,0,0,0,0,8,0,0,1,1,0,3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,4,1,0,1,0,0,0,0,0,0,1,0,0,7,0,0,0,0,0,0,0
197,2,2,2,0,1,10,6,1,5,1,0,1,4,3,1,0,0,0,0,2,2,0,2,1,0,0,1,0,0,1,1,1,0,2,3,0,3,2,1,0,0,2,0,2,0,0,0,2,0,0,2,3,0,1,2,0,0,0,0,0,1,0,3,0,0,0,2,0,0,3,0,6,0,0,0,1,3,1,2,1,1,0,0,0,1,0,0,1,0,0,0,1,2,1,1,1,0,0,1,0
198,0,5,1,2,6,6,3,4,3,1,0,1,3,9,1,0,0,0,0,3,2,0,1,1,1,0,7,1,2,3,6,1,1,1,3,3,3,4,1,1,0,0,3,1,0,1,0,0,2,0,2,4,0,2,4,2,0,1,0,0,2,0,2,0,0,2,3,0,0,2,0,5,3,0,0,0,3,0,2,0,0,4,0,0,0,2,0,0,1,0,2,0,1,2,2,0,0,0,0,0
199,2,0,2,0,3,2,4,1,2,0,0,1,0,1,1,8,0,1,0,0,0,0,1,1,0,0,2,0,0,0,3,1,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,2,1,0,1,0,0,4,2,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,5,3,0,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,0,0,2,2,1,0,1,0,1
200,3,3,5,4,0,2,0,3,0,4,0,3,0,0,3,0,0,0,2,0,3,6,1,0,0,0,1,4,1,0,0,0,3,0,0,0,1,1,0,0,1,0,2,2,2,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,2,1,1,0,0,1,0,0,0,1,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0
201,1,0,1,3,0,2,0,1,0,0,0,1,0,0,2,0,0,0,0,1,0,1,2,1,0,0,1,2,0,0,2,0,1,0,0,0,2,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,3,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
202,2,3,6,0,6,3,9,1,3,5,0,2,0,6,1,0,2,11,0,1,2,6,2,1,2,0,3,1,3,2,3,2,1,2,2,4,1,0,5,0,0,5,1,0,0,1,1,1,0,3,0,1,1,2,1,0,1,0,0,0,3,0,2,0,3,0,0,0,0,6,0,0,1,0,1,0,2,3,0,0,1,1,0,0,0,1,0,1,0,0,2,1,2,1,0,0,0,3,0,0
203,1,0,1,2,3,10,1,1,1,4,0,3,0,4,3,1,1,0,1,0,2,5,0,0,0,0,0,1,4,1,6,0,0,2,0,1,0,2,0,1,0,2,1,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,1,1,1,1,1,1,0,0,0,0,1,0,1,3,0,0,0,0,0,0,3,0,0,0,1
204,25,2,2,4,1,0,2,1,4,2,0,2,4,0,1,0,2,0,4,1,0,0,1,0,0,2,0,5,0,2,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,2,2,0,2,0,0,0,1,1,0,0,0,0,1,3,0,1,0,1,0,1,0,0,0,0,0,0,1,1,2,0,0,0,1,2,0,0,0,5,0,0,1,0,0,0,0,1,5,1,0,0,0,0,0,0
