articles,million,bhd,said,share,year,wa,petrona,ha,price,market,stock,group,thi,compani,billion,sen,malaysia,contract,oil,s,us,trade,profit,expect,ga,includ,project,also,research,today,per,net,klci,point,valu,sdn,develop,last,earn,revenu,valuat,kuala,fbm,lumpur,end,hold,time,higher,activ,quarter,financi,servic,lower,close,base,say,new,bank,may,first,fundament,oper,investor,current,would,note,bursa,due,index,secur,invest,rose,accord,gainer,2015,ad,fell,product,industri,busi,counter,posit,edg,score,two,rate,corp,gain,construct,could,capit,remain,manag,percent,local,offshor,one,announc,asset,report
199,2,19,5,4,0,4,2,0,0,5,3,1,1,0,1,0,2,0,1,5,0,2,0,2,1,4,0,1,2,1,0,0,3,4,1,0,0,1,0,0,0,2,3,2,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,1,0,3,1,2,0,0,0,0,3,0,2,1,0,0,0,0,0,4,0,0,0,0,0,2,3,2,0,0,0,0
200,2,2,4,3,1,1,2,0,0,0,0,1,1,1,1,2,0,1,2,2,0,1,0,2,2,0,4,0,0,2,0,0,1,1,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,1,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,1,0,0
201,6,3,0,2,6,0,2,4,7,2,1,4,8,1,8,0,4,13,10,0,4,0,1,2,5,0,4,2,1,0,7,0,0,0,0,0,2,1,1,0,0,0,0,0,0,1,4,1,0,0,1,0,7,1,0,0,1,0,2,2,0,1,0,0,0,0,0,2,0,6,0,0,0,0,2,0,0,1,3,2,0,0,1,0,0,1,1,0,3,1,2,0,1,0,2,0,0,0,0,1
202,2,2,0,0,2,0,2,1,1,4,1,0,1,0,0,0,0,3,0,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
203,0,23,3,2,0,2,2,0,0,0,1,2,1,0,0,0,0,1,0,2,0,1,0,1,1,4,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0,1,3,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,2,1,1,0,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0
204,7,5,2,2,4,1,4,6,5,1,2,6,3,1,2,0,2,1,10,0,4,0,0,2,3,0,0,3,3,0,3,1,0,0,1,2,0,2,3,0,0,0,0,0,1,2,2,0,0,0,0,1,0,1,0,5,0,0,1,3,0,2,0,2,0,0,1,0,0,0,1,0,1,0,2,1,0,7,0,0,0,0,3,0,3,1,0,0,0,1,1,0,0,0,0,0,1,2,17,3
205,1,1,0,0,1,1,1,1,2,1,2,2,7,1,0,0,0,4,1,0,0,0,2,0,0,0,3,1,1,0,2,1,0,0,0,0,1,0,2,0,2,0,0,0,1,1,4,0,0,0,3,0,0,1,0,0,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0
206,7,5,1,2,7,3,7,9,7,3,1,7,2,6,5,0,6,2,10,0,5,0,1,5,4,1,3,4,0,0,4,1,0,4,1,2,1,6,1,1,0,0,0,0,2,5,2,0,2,1,2,1,0,2,0,1,4,0,1,1,0,1,0,5,0,1,1,1,0,1,0,0,2,0,0,0,1,3,3,1,0,0,2,0,1,3,0,0,2,0,3,0,0,0,1,3,1,1,1,0
207,0,1,4,2,0,0,2,2,11,0,0,3,0,0,0,1,0,0,2,0,0,2,0,2,0,0,0,0,2,0,0,0,0,0,1,0,0,0,3,0,0,1,0,1,0,0,0,0,0,0,0,0,7,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,2,0,0,1,0,2,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
208,0,1,0,2,1,1,1,3,8,0,2,0,3,6,3,0,0,2,7,0,0,2,0,0,1,0,0,1,1,0,2,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,3,0,0,0,1,0,2,0,0,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,1,1,0,0
