articles,bhd,market,said,million,axiata,group,share,wa,malaysia,year,week,us,billion,point,s,stock,ha,thi,compani,last,also,klci,index,price,trade,sen,declin,today,net,profit,expect,fbm,servic,valuat,hold,financi,base,time,fundament,growth,increas,invest,averag,fell,revenu,research,per,earn,bank,oper,level,close,may,indic,oil,valu,higher,mobil,would,lower,celcom,bursa,two,end,includ,kuala,lumpur,score,busi,continu,top,move,say,note,howev,still,quarter,dollar,industri,investor,remain,rose,support,foreign,capit,number,2015,high,interest,provid,rate,dividend,telekom,global,friday,sdn,edg,loss,new,one
132,3,5,6,2,3,1,6,3,1,0,0,0,4,0,6,2,1,1,2,0,3,0,0,7,3,3,0,2,1,1,1,0,4,5,0,0,2,0,5,1,0,1,0,1,1,3,1,0,1,1,0,0,0,0,0,1,1,2,1,2,1,0,0,0,0,1,1,3,0,0,1,0,0,3,1,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,0,0
133,6,0,12,0,1,0,0,0,3,2,1,0,0,0,0,1,0,2,5,1,4,0,0,3,0,0,0,0,0,1,1,0,7,6,0,1,2,3,6,0,0,1,3,0,0,1,1,0,0,0,1,0,0,0,0,1,0,7,0,1,1,0,0,0,1,1,1,3,0,1,0,1,0,0,0,0,0,0,2,0,0,0,3,0,2,2,1,0,0,1,1,0,1,2,0,1,2,0,2,0
134,5,2,0,0,1,1,0,1,1,0,0,1,0,0,1,1,0,3,2,0,2,0,0,3,1,1,1,2,0,1,0,0,3,3,0,1,2,1,3,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,0,1,1,0,0,0,0,1,1,3,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,1,1,0,0,0
135,4,2,6,0,1,0,1,2,0,2,0,0,2,0,0,5,5,3,2,2,6,0,0,11,0,1,0,0,0,1,0,0,4,5,0,4,2,3,4,0,4,1,0,0,3,8,0,3,2,2,0,1,3,0,0,2,4,5,5,0,1,0,0,2,0,1,1,3,0,0,0,0,2,5,3,1,0,0,0,3,0,0,0,0,0,2,2,0,0,0,0,2,0,0,2,1,3,0,0,0
136,6,8,0,3,1,3,2,9,2,1,20,7,2,15,0,1,4,5,0,7,1,0,9,6,2,0,9,0,2,0,5,0,0,0,1,1,0,1,0,0,2,2,6,5,0,0,2,0,0,0,8,1,0,8,5,0,1,0,1,0,0,2,5,0,0,0,0,0,0,3,1,3,0,0,2,1,0,4,1,0,4,2,4,2,0,0,1,4,0,0,0,0,0,1,1,1,1,0,0,1
137,10,6,0,0,1,2,0,3,4,17,1,9,0,1,0,3,5,12,7,9,4,3,1,10,0,2,1,0,2,2,7,3,1,12,3,1,2,0,11,16,0,3,0,0,2,8,4,15,6,1,2,2,5,0,10,2,1,0,2,4,0,0,1,1,1,0,0,3,1,4,0,0,13,3,2,2,4,2,2,1,2,0,0,1,1,0,4,1,0,1,1,0,0,0,0,0,4,1,4,0
138,27,0,2,6,4,9,8,3,2,3,0,0,1,0,3,2,6,3,7,1,3,0,0,2,0,2,0,3,0,1,1,0,1,10,5,1,3,1,9,0,0,3,0,0,0,1,3,1,0,2,0,0,0,0,4,2,0,0,0,1,4,1,2,0,3,4,4,3,0,1,0,0,0,1,2,0,1,0,2,0,3,0,0,1,1,2,3,3,3,0,1,0,1,0,0,8,1,1,0,0
139,5,1,1,3,5,4,1,2,2,1,0,0,1,0,2,1,1,1,4,0,3,0,0,0,0,0,0,1,0,1,0,0,0,3,0,0,2,0,3,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,4,1,0,1,1,3,3,3,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,2,0,2,1,0,1,0,1,0,0,0,1,1,0,0
140,3,2,7,4,1,4,3,1,1,6,1,1,6,0,0,1,4,6,3,2,8,0,0,1,0,5,1,0,2,4,0,0,2,3,0,3,2,1,3,8,5,1,1,0,8,1,3,3,0,1,0,1,0,2,0,1,1,1,2,1,0,0,0,2,0,1,1,3,5,1,1,1,1,0,1,0,2,0,2,0,0,0,2,0,1,2,3,0,1,2,0,2,1,1,0,1,2,0,0,1
141,4,1,8,6,13,7,2,4,1,10,0,1,9,0,0,1,4,5,4,4,3,0,0,0,0,3,1,0,2,4,4,0,3,3,0,4,3,0,3,9,3,2,0,1,6,1,0,1,0,3,0,0,0,1,0,1,5,1,2,2,1,1,0,3,1,1,1,3,1,1,0,0,0,0,3,0,1,0,3,0,1,0,2,2,3,2,5,0,1,2,0,5,1,1,0,0,2,0,0,1
142,19,5,4,1,1,1,2,4,3,1,1,1,2,2,5,3,1,0,1,1,2,2,1,3,5,0,3,2,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,1,0,2,0,0,2,0,0,3,0,0,4,0,0,0,0,2,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0,2,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0
143,26,2,3,3,1,5,2,3,1,0,0,2,0,1,1,2,2,0,0,0,0,2,1,0,2,1,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0,0,1,0,0,3,2,2,0,0,1,1,0,0,0,0,0,0,1,2,2,2,1,1,0,3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
144,21,13,9,17,4,5,22,6,9,3,0,2,11,0,9,2,14,3,8,3,2,0,0,7,0,10,0,8,0,0,2,0,0,1,4,0,2,0,0,0,1,2,0,0,0,0,0,0,0,0,0,7,1,2,2,2,3,0,1,1,0,5,4,0,2,1,1,0,0,1,0,2,0,0,0,0,1,0,0,1,0,0,0,0,2,0,1,0,1,1,0,0,0,1,1,5,0,0,5,4
145,15,11,5,5,1,2,5,1,10,2,0,9,2,5,0,24,3,7,1,2,4,0,0,7,3,13,0,0,1,1,9,0,0,2,1,2,3,6,1,24,0,2,3,0,0,1,1,5,4,0,3,1,2,0,0,4,6,0,1,2,0,1,0,6,3,2,2,0,1,2,2,3,6,3,1,4,2,0,0,9,3,0,1,0,0,2,4,2,8,1,12,13,7,4,0,0,3,0,1,5
146,6,2,0,2,1,1,3,4,3,0,0,0,0,3,5,3,0,0,0,1,0,6,3,1,2,0,5,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,1,1,0,1,0,0,0,0,2,0,1,1,0,0,1,1,0,0,1,1,0,0,1,0,0,1,0,0,1,0,4,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,2,0,0
147,0,4,4,1,1,0,3,3,0,0,0,2,0,2,1,1,0,0,0,0,0,3,1,0,5,2,0,1,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,3,1,1,0,0,0,2,0,0,0,0,0,0,1,0,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
148,7,11,0,3,1,3,2,4,2,0,23,12,6,16,0,3,4,4,0,7,1,8,7,0,3,0,14,0,2,0,1,1,1,1,2,1,0,1,0,0,3,2,7,2,0,0,3,0,1,0,8,2,1,6,3,1,1,0,0,2,0,2,6,0,1,0,0,0,0,4,0,4,0,0,1,0,0,7,1,0,2,3,5,2,0,1,0,1,0,1,0,0,0,1,0,1,1,0,0,2
149,6,1,5,2,1,3,4,3,1,1,2,2,3,1,0,2,1,2,2,1,1,0,1,4,0,0,1,2,0,0,1,0,0,0,2,0,0,2,0,0,0,1,1,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0,3,3,0,0,0,0,0,0,4,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
150,1,0,5,2,5,1,1,1,0,1,0,0,0,0,2,1,0,1,0,0,0,0,0,1,0,0,0,1,2,3,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,4,0,1,0,0,1,0,0,0,1,0,0,1,3,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
151,7,1,2,4,2,2,4,5,4,5,0,1,5,2,0,4,4,9,2,2,1,0,0,1,0,1,0,2,0,0,1,0,11,0,1,0,2,5,0,0,0,2,1,0,2,0,3,2,0,7,1,2,1,0,0,1,2,9,9,2,1,0,2,1,0,0,0,0,2,1,3,4,12,1,0,2,0,0,1,1,2,0,0,0,2,0,0,2,0,5,3,6,22,0,0,1,3,1,0,2
152,7,1,2,4,2,2,4,5,4,5,0,1,5,2,0,4,4,9,2,2,1,0,0,1,0,1,0,2,0,0,1,0,11,0,1,0,2,5,0,0,0,2,1,0,2,0,3,2,0,7,1,2,1,0,0,1,2,9,9,2,1,0,2,1,0,0,0,0,2,1,3,4,12,1,0,2,0,0,1,1,2,0,0,0,2,0,0,2,0,6,3,6,22,0,0,1,3,1,0,2
153,1,9,1,0,1,0,2,3,2,0,0,0,2,1,0,3,0,0,0,0,0,2,0,0,1,2,2,3,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
154,1,9,1,0,1,0,2,3,2,0,0,0,2,1,0,3,0,0,0,0,0,2,0,0,1,2,2,3,0,0,0,2,0,1,0,0,0,0,0,0,0,2,0,3,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1
155,6,3,0,2,1,2,2,1,0,1,1,2,3,5,0,6,5,5,2,0,0,5,9,4,2,0,2,0,0,3,2,1,0,0,2,2,0,2,0,1,0,2,2,2,0,0,0,1,0,2,7,2,4,2,0,1,0,0,2,5,0,0,0,2,0,0,0,0,0,1,0,4,0,0,1,0,1,1,0,2,2,1,4,0,1,0,0,9,1,0,2,0,0,0,1,0,1,1,0,2
156,7,3,3,0,1,2,3,2,4,1,4,2,4,4,9,6,0,1,0,0,0,5,2,0,0,0,5,4,0,1,1,1,0,0,0,1,0,0,0,0,1,0,0,2,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,2,1,1,1,0,0,0,1,0,0,0,0,0,0,0,2,3,1,4,0,0,1,0,0,0,0,0,0,0,0,0,2,1,0,1,0,0
157,0,6,5,3,1,0,2,3,0,2,2,0,0,2,1,3,1,0,0,1,0,4,1,1,1,2,0,0,0,0,1,4,0,0,1,0,0,0,0,0,0,0,1,3,0,1,0,1,2,0,3,0,0,1,1,1,0,0,0,1,0,1,0,1,3,1,1,0,0,1,2,1,0,0,0,1,0,1,0,0,1,0,4,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0
158,5,2,2,0,1,3,2,3,1,1,2,4,2,1,6,2,1,1,0,0,0,6,0,0,1,0,5,3,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,2,0,2,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0
159,5,2,2,0,1,3,2,3,1,1,2,4,2,1,6,2,1,1,0,0,0,6,0,0,1,0,5,3,0,0,3,1,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,2,0,2,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,1,0,0,0,1,0,1,1,1,0,0,2,0,2,1,1,1,0,2,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0
160,8,3,3,2,1,1,2,3,5,0,0,3,0,0,7,4,2,0,0,1,1,5,0,1,4,0,4,2,0,0,1,1,2,3,1,1,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,2,2,1,0,0,0,0,0,1,0,3,0,0,2,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,1,2,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0
161,8,3,3,2,1,1,2,3,5,0,0,3,0,0,7,4,2,0,0,1,1,5,0,1,4,0,4,2,0,0,1,1,2,3,1,1,0,0,0,1,1,1,1,0,0,0,0,2,2,0,0,2,2,1,0,0,0,0,0,1,0,3,0,0,2,1,1,0,0,0,1,0,0,2,0,0,0,1,0,0,0,2,0,1,2,1,0,1,2,0,1,0,0,0,0,0,0,1,0,0
