articles,bhd,share,million,bank,said,price,market,stock,thi,year,wa,ha,group,malaysia,billion,maybank,research,trade,index,sen,expect,invest,also,compani,us,hold,point,profit,s,high,earn,klci,low,time,growth,net,financi,say,last,per,target,may,level,analyst,would,valuat,cimb,end,note,valu,fbm,close,investor,lower,higher,first,buy,2015,oil,base,declin,manag,busi,rate,daili,includ,2014,quarter,report,sell,kuala,fell,edg,lumpur,month,new,remain,could,today,due,fundament,2016,revenu,recent,like,week,activ,sinc,continu,industri,averag,one,current,rose,capit,support,move,oper,asset,dividend
24,6,2,1,16,2,2,2,4,1,0,2,2,2,1,0,4,0,0,0,0,9,0,2,0,1,2,0,1,7,0,0,1,0,0,0,2,1,0,0,0,0,0,0,4,2,0,4,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,2,0,0,0,1,2,0,0,0,0,1,0,0,1,0,1,2,0,0,0,0,0,1,0,0,0
25,8,15,20,3,0,7,4,5,3,5,9,3,2,1,0,1,0,5,0,6,0,0,2,0,0,5,0,0,0,1,0,0,0,0,0,1,1,0,4,0,0,1,0,0,0,0,0,4,0,0,0,3,0,1,1,0,0,0,0,0,1,0,0,0,0,2,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,2,0,2,0,0,0,0,3,0,0,0,0,1,0,0
26,6,4,0,5,7,0,2,2,4,0,1,1,6,1,2,3,0,0,0,0,0,0,1,1,0,2,1,2,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,1,1,0,0,0,1,1,0,1,1,0,0,0,1
27,10,9,2,46,0,3,3,1,4,6,4,13,8,2,1,5,0,4,0,1,1,1,2,0,0,4,3,0,0,0,0,0,1,5,1,0,0,5,4,1,0,1,0,8,4,0,4,0,0,1,0,1,0,0,0,3,0,0,0,4,0,3,2,0,0,0,0,0,0,3,0,0,2,0,3,0,1,1,0,0,0,0,0,1,2,1,0,1,1,4,0,4,0,0,0,0,1,1,2,0
28,1,2,5,0,2,3,0,2,2,2,5,3,0,1,0,3,5,7,0,7,0,0,2,0,0,1,0,0,5,3,0,0,0,0,1,0,0,0,1,0,2,0,0,1,0,0,0,0,0,0,0,1,0,1,2,0,3,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,1,0,0,1,1,0,0,0,1,0,2,1,0,0,0,1,2,0,2,0,0,0,0,0,0
29,1,2,5,0,2,3,0,1,3,2,5,2,0,1,0,2,5,7,0,7,0,0,2,0,0,1,0,0,5,2,1,0,0,0,1,0,1,0,1,0,2,0,0,1,0,0,0,1,0,0,0,1,0,2,2,0,3,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,1,0,1,0,0,0,1,0,0,0,1,0,2,1,0,0,0,1,2,0,1,0,0,0,0,0,0
30,1,2,2,1,6,1,0,4,0,0,3,0,0,0,0,2,4,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,3,0,1,0,0,2,3,0,0,0
31,12,13,7,4,1,8,8,1,4,2,12,3,0,3,6,3,0,0,0,0,0,10,1,2,0,1,1,0,0,2,0,0,0,2,0,0,0,9,3,6,1,2,0,0,2,2,1,0,0,1,0,1,8,0,0,0,0,3,0,0,1,6,1,1,0,2,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,2,0
32,2,10,3,1,9,13,1,1,3,8,2,5,2,1,2,1,3,0,0,0,4,2,1,3,0,2,0,0,1,2,9,0,0,0,1,0,0,0,3,0,3,0,0,4,0,2,0,0,3,1,0,2,1,0,1,1,2,2,0,0,0,2,0,1,0,1,0,2,0,0,1,0,0,1,0,2,1,1,0,2,0,1,0,2,1,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0
33,15,1,0,9,0,5,18,4,10,19,0,11,1,7,1,0,7,1,1,0,7,7,6,4,4,2,4,1,0,5,8,6,2,9,12,5,2,15,6,5,1,1,3,3,2,2,3,2,0,1,6,2,5,0,1,2,0,0,2,0,1,10,4,2,0,2,1,1,2,0,0,1,1,0,3,2,7,7,0,1,0,0,0,1,7,1,1,1,4,2,2,4,0,0,1,3,2,0,5,1
