articles,million,bhd,said,share,wa,year,price,petrona,ha,stock,market,sen,compani,oil,group,billion,thi,s,contract,malaysia,profit,trade,research,ga,also,includ,us,expect,today,project,net,revenu,hold,klci,per,end,valu,earn,sdn,quarter,last,kuala,lumpur,develop,valuat,fbm,activ,higher,note,point,may,new,base,time,financi,oper,lower,servic,product,first,fundament,close,investor,due,counter,accord,manag,bank,bursa,would,gain,say,top,gainer,work,fell,secur,2015,31,remain,score,rate,current,construct,rose,industri,report,invest,busi,edg,ad,one,continu,two,unit,high,local,target,index,month
187,0,4,1,0,2,0,0,5,3,1,1,1,2,2,3,1,0,1,0,3,1,0,1,1,3,0,0,0,2,0,0,0,0,0,0,0,1,0,1,0,0,1,1,0,3,0,0,0,1,0,0,0,2,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,3,0,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0
188,0,3,2,4,2,1,1,4,0,1,1,1,2,0,1,2,0,4,0,1,1,1,1,0,2,0,0,1,2,6,0,0,1,0,0,0,4,0,0,0,0,2,2,1,3,0,0,0,1,0,1,1,2,0,0,0,0,0,0,1,3,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,0,0,1,1,0,3,2,0,1,0,0,0,4,0,0,0,0,0,0
189,4,3,7,0,1,7,5,13,4,1,2,1,1,5,1,4,5,0,0,0,3,0,0,3,3,1,0,5,0,0,1,2,0,0,0,0,1,0,1,1,4,1,1,0,1,0,2,0,1,0,0,1,1,2,1,2,2,1,3,1,1,1,0,4,0,0,3,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,0,3,0,2,1,1,0,0,1,1,0,0,0,0,0
190,1,5,1,1,0,0,0,3,1,1,1,2,3,0,0,0,0,2,0,1,1,0,1,0,2,0,0,0,2,0,0,0,1,0,0,0,1,0,0,0,0,1,1,0,3,0,0,1,1,0,1,0,2,0,0,0,0,1,0,0,3,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
191,0,3,8,1,3,2,4,17,1,2,1,1,3,2,0,1,5,3,0,1,1,1,1,0,2,1,1,0,0,0,0,0,0,1,0,0,2,0,1,0,0,1,1,0,3,0,0,0,1,0,1,0,2,1,0,0,1,3,0,0,3,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,4,0,0,1,0,1,0,1,0,0,0,0,0,0
192,0,6,3,0,3,2,0,2,3,1,1,0,2,1,0,1,0,2,1,1,1,0,1,6,2,1,1,0,2,2,0,0,0,0,0,0,1,0,2,0,0,1,1,0,3,0,0,0,2,0,0,0,2,0,0,2,0,1,0,0,3,1,0,0,0,1,1,0,1,0,0,0,0,0,2,0,0,0,1,0,3,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
193,4,2,6,0,2,5,0,2,3,1,0,0,7,2,1,2,3,0,3,0,2,0,1,1,3,2,0,1,0,1,0,2,0,0,0,1,1,1,0,0,0,1,1,0,3,0,2,0,1,1,0,3,2,0,3,1,0,2,1,3,3,0,0,0,0,1,1,0,0,1,0,0,0,0,3,0,0,1,1,4,3,0,4,2,0,2,0,0,1,2,2,0,0,0,0,0,2,0,0,0
194,13,4,3,5,2,16,5,4,7,3,5,4,5,5,10,1,12,0,9,3,7,1,2,2,2,1,7,4,0,2,4,8,2,0,4,2,2,1,0,0,4,0,0,2,2,0,0,0,1,0,1,1,4,2,2,7,0,0,3,1,2,1,0,2,0,1,1,0,2,0,2,6,0,0,0,2,1,1,1,1,3,1,1,1,1,0,1,0,1,3,1,2,1,0,1,1,1,1,0,3
195,11,8,0,1,5,4,1,1,9,3,3,1,10,1,4,2,3,0,0,2,2,0,1,1,2,4,0,0,0,0,2,0,3,0,0,5,1,0,3,0,4,0,0,0,4,0,0,0,2,0,0,0,3,1,2,1,0,0,1,2,4,1,2,0,0,2,0,4,0,1,0,5,0,0,0,0,2,1,0,0,3,0,1,0,0,3,0,1,4,3,0,1,1,1,0,1,2,0,0,2
196,0,7,2,1,2,0,1,3,0,2,1,0,0,2,0,2,1,1,0,4,0,3,0,1,1,0,6,3,0,0,0,0,0,4,0,0,0,0,1,0,0,1,1,0,0,1,1,0,0,1,1,0,0,0,0,0,1,0,0,0,0,1,1,0,1,1,0,0,1,0,0,0,0,2,0,2,0,0,0,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
197,21,2,3,18,7,5,3,1,5,4,1,7,5,0,1,0,4,0,4,2,1,4,0,0,6,1,0,0,1,0,3,2,3,0,2,2,1,2,1,1,5,2,2,2,2,0,1,1,2,0,2,3,5,7,0,2,0,1,0,2,2,1,2,0,0,3,2,1,1,4,1,0,0,0,3,0,0,1,5,2,0,0,0,0,1,0,0,1,3,1,1,1,0,1,0,3,0,0,0,3
