articles,bhd,said,million,share,year,price,cimb,thi,ha,market,wa,stock,bank,group,malaysia,research,billion,compani,expect,hold,also,s,profit,sen,earn,net,invest,trade,target,last,financi,us,growth,per,note,higher,would,analyst,say,time,today,point,may,manag,base,new,oil,end,valuat,first,rate,kuala,quarter,valu,investor,lumpur,fund,revenu,index,could,2015,due,high,edg,lower,declin,report,busi,close,asset,increas,klci,develop,sale,oper,fundament,project,sector,posit,week,product,current,remain,capit,maintain,call,month,one,cost,howev,2014,top,rose,industri,continu,fell,hous,like,secur,strong
693,3,0,0,1,7,0,3,25,4,13,4,4,0,0,8,0,0,3,4,1,4,0,0,0,0,1,31,8,0,0,6,3,1,4,0,1,0,0,6,1,0,1,1,21,2,3,0,4,0,6,0,0,0,1,17,0,34,0,2,1,0,0,2,1,2,0,1,0,0,13,0,1,1,1,0,0,0,0,0,0,4,2,0,0,0,0,0,1,3,0,2,0,0,3,0,0,0,2,1,0
694,0,2,2,5,0,1,1,0,1,2,1,4,0,2,0,0,2,3,0,0,0,4,0,0,0,0,0,3,1,0,1,0,1,0,0,0,1,0,1,2,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
695,4,5,1,2,0,1,2,0,0,0,6,1,1,0,0,3,2,0,2,0,1,0,0,1,4,2,1,1,1,1,0,0,0,1,2,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
696,4,5,1,2,0,1,2,0,0,0,6,1,1,0,0,3,2,0,2,0,1,0,0,1,4,2,1,1,1,1,0,0,0,1,2,0,2,1,0,0,4,0,0,0,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,0,0,0,1,0,0,0
697,0,7,0,0,4,9,6,6,0,7,0,3,2,1,0,0,0,0,8,1,1,0,1,0,1,0,3,2,0,0,1,0,0,1,1,1,2,0,1,1,0,0,1,0,0,0,0,0,0,1,1,1,0,0,0,1,0,0,0,2,0,0,3,2,1,0,7,0,0,0,1,2,0,1,0,0,0,0,2,0,0,1,0,0,0,0,2,1,0,0,1,0,0,2,1,0,0,0,0,0
698,6,2,0,2,1,0,1,1,0,2,2,3,0,1,1,0,2,0,0,2,1,4,3,0,0,0,0,2,0,1,0,2,1,0,1,0,0,0,0,0,4,0,3,2,0,1,0,0,0,0,0,1,0,0,3,1,2,0,2,1,0,0,3,1,0,3,1,0,0,0,0,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,2,0,0,0,1,1,1,0
699,1,6,3,1,3,2,2,0,0,0,0,1,1,1,0,3,0,0,3,0,0,0,2,1,2,2,1,1,1,0,2,0,0,0,2,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0
700,1,6,3,1,3,2,2,0,0,0,0,1,1,1,0,3,0,0,3,0,0,0,2,1,2,2,1,1,1,0,2,0,0,0,2,0,1,0,0,0,1,0,2,0,0,2,0,0,0,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3,0,0,2,0,0,0,0,1,0,0,0,1,1,0,0,1,0,1,0,0,0,2,0,0,0,1,0,0,0,0
701,1,6,2,1,1,1,9,1,5,5,0,0,5,2,0,3,4,0,1,1,1,0,4,1,5,4,2,1,1,1,2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,4,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,2,0,0,1,1,1,1,0,0,1,1,1,0,0,1
702,1,6,2,1,1,1,9,1,5,5,0,0,5,2,0,3,4,0,1,1,1,0,4,1,5,4,2,1,1,1,2,0,0,0,1,0,2,1,0,0,1,0,1,0,0,0,0,0,0,4,0,1,5,0,0,1,0,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,3,1,2,2,0,0,1,1,1,1,0,0,1,1,1,0,0,1
